,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,PetalRatio,SepalRatio
0,1,5.1,3.5,1.4,0.2,Iris-setosa,7,1.457142857
1,2,4.9,3,1.4,0.2,Iris-setosa,7,1.633333333
2,3,4.7,3.2,1.3,0.2,Iris-setosa,6.5,1.46875
3,4,4.6,3.1,1.5,0.2,Iris-setosa,7.5,1.483870968
4,5,5,3.6,1.4,0.2,Iris-setosa,7,1.388888889
5,6,5.4,3.9,1.7,0.4,Iris-setosa,4.25,1.384615385
6,7,4.6,3.4,1.4,0.3,Iris-setosa,4.666666667,1.352941176
7,8,5,3.4,1.5,0.2,Iris-setosa,7.5,1.470588235
8,9,4.4,2.9,1.4,0.2,Iris-setosa,7,1.517241379
9,10,4.9,3.1,1.5,0.1,Iris-setosa,15,1.580645161
10,11,5.4,3.7,1.5,0.2,Iris-setosa,7.5,1.459459459
11,12,4.8,3.4,1.6,0.2,Iris-setosa,8,1.411764706
12,13,4.8,3,1.4,0.1,Iris-setosa,14,1.6
13,14,4.3,3,1.1,0.1,Iris-setosa,11,1.433333333
14,15,5.8,4,1.2,0.2,Iris-setosa,6,1.45
15,16,5.7,4.4,1.5,0.4,Iris-setosa,3.75,1.295454545
16,17,5.4,3.9,1.3,0.4,Iris-setosa,3.25,1.384615385
17,18,5.1,3.5,1.4,0.3,Iris-setosa,4.666666667,1.457142857
18,19,5.7,3.8,1.7,0.3,Iris-setosa,5.666666667,1.5
19,20,5.1,3.8,1.5,0.3,Iris-setosa,5,1.342105263
20,21,5.4,3.4,1.7,0.2,Iris-setosa,8.5,1.588235294
21,22,5.1,3.7,1.5,0.4,Iris-setosa,3.75,1.378378378
22,23,4.6,3.6,1,0.2,Iris-setosa,5,1.277777778
23,24,5.1,3.3,1.7,0.5,Iris-setosa,3.4,1.545454545
24,25,4.8,3.4,1.9,0.2,Iris-setosa,9.5,1.411764706
25,26,5,3,1.6,0.2,Iris-setosa,8,1.666666667
26,27,5,3.4,1.6,0.4,Iris-setosa,4,1.470588235
27,28,5.2,3.5,1.5,0.2,Iris-setosa,7.5,1.485714286
28,29,5.2,3.4,1.4,0.2,Iris-setosa,7,1.529411765
29,30,4.7,3.2,1.6,0.2,Iris-setosa,8,1.46875
30,31,4.8,3.1,1.6,0.2,Iris-setosa,8,1.548387097
31,32,5.4,3.4,1.5,0.4,Iris-setosa,3.75,1.588235294
32,33,5.2,4.1,1.5,0.1,Iris-setosa,15,1.268292683
33,34,5.5,4.2,1.4,0.2,Iris-setosa,7,1.30952381
34,35,4.9,3.1,1.5,0.2,Iris-setosa,7.5,1.580645161
35,36,5,3.2,1.2,0.2,Iris-setosa,6,1.5625
36,37,5.5,3.5,1.3,0.2,Iris-setosa,6.5,1.571428571
37,38,4.9,3.6,1.4,0.1,Iris-setosa,14,1.361111111
38,39,4.4,3,1.3,0.2,Iris-setosa,6.5,1.466666667
39,40,5.1,3.4,1.5,0.2,Iris-setosa,7.5,1.5
40,41,5,3.5,1.3,0.3,Iris-setosa,4.333333333,1.428571429
41,42,4.5,2.3,1.3,0.3,Iris-setosa,4.333333333,1.956521739
42,43,4.4,3.2,1.3,0.2,Iris-setosa,6.5,1.375
43,44,5,3.5,1.6,0.6,Iris-setosa,2.666666667,1.428571429
44,45,5.1,3.8,1.9,0.4,Iris-setosa,4.75,1.342105263
45,46,4.8,3,1.4,0.3,Iris-setosa,4.666666667,1.6
46,47,5.1,3.8,1.6,0.2,Iris-setosa,8,1.342105263
47,48,4.6,3.2,1.4,0.2,Iris-setosa,7,1.4375
48,49,5.3,3.7,1.5,0.2,Iris-setosa,7.5,1.432432432
49,50,5,3.3,1.4,0.2,Iris-setosa,7,1.515151515
50,51,7,3.2,4.7,1.4,Iris-versicolor,3.357142857,2.1875
51,52,6.4,3.2,4.5,1.5,Iris-versicolor,3,2
52,53,6.9,3.1,4.9,1.5,Iris-versicolor,3.266666667,2.225806452
53,54,5.5,2.3,4,1.3,Iris-versicolor,3.076923077,2.391304348
54,55,6.5,2.8,4.6,1.5,Iris-versicolor,3.066666667,2.321428571
55,56,5.7,2.8,4.5,1.3,Iris-versicolor,3.461538462,2.035714286
56,57,6.3,3.3,4.7,1.6,Iris-versicolor,2.9375,1.909090909
57,58,4.9,2.4,3.3,1,Iris-versicolor,3.3,2.041666667
58,59,6.6,2.9,4.6,1.3,Iris-versicolor,3.538461538,2.275862069
59,60,5.2,2.7,3.9,1.4,Iris-versicolor,2.785714286,1.925925926
60,61,5,2,3.5,1,Iris-versicolor,3.5,2.5
61,62,5.9,3,4.2,1.5,Iris-versicolor,2.8,1.966666667
62,63,6,2.2,4,1,Iris-versicolor,4,2.727272727
63,64,6.1,2.9,4.7,1.4,Iris-versicolor,3.357142857,2.103448276
64,65,5.6,2.9,3.6,1.3,Iris-versicolor,2.769230769,1.931034483
65,66,6.7,3.1,4.4,1.4,Iris-versicolor,3.142857143,2.161290323
66,67,5.6,3,4.5,1.5,Iris-versicolor,3,1.866666667
67,68,5.8,2.7,4.1,1,Iris-versicolor,4.1,2.148148148
68,69,6.2,2.2,4.5,1.5,Iris-versicolor,3,2.818181818
69,70,5.6,2.5,3.9,1.1,Iris-versicolor,3.545454545,2.24
70,71,5.9,3.2,4.8,1.8,Iris-versicolor,2.666666667,1.84375
71,72,6.1,2.8,4,1.3,Iris-versicolor,3.076923077,2.178571429
72,73,6.3,2.5,4.9,1.5,Iris-versicolor,3.266666667,2.52
73,74,6.1,2.8,4.7,1.2,Iris-versicolor,3.916666667,2.178571429
74,75,6.4,2.9,4.3,1.3,Iris-versicolor,3.307692308,2.206896552
75,76,6.6,3,4.4,1.4,Iris-versicolor,3.142857143,2.2
76,77,6.8,2.8,4.8,1.4,Iris-versicolor,3.428571429,2.428571429
77,78,6.7,3,5,1.7,Iris-versicolor,2.941176471,2.233333333
78,79,6,2.9,4.5,1.5,Iris-versicolor,3,2.068965517
79,80,5.7,2.6,3.5,1,Iris-versicolor,3.5,2.192307692
80,81,5.5,2.4,3.8,1.1,Iris-versicolor,3.454545455,2.291666667
81,82,5.5,2.4,3.7,1,Iris-versicolor,3.7,2.291666667
82,83,5.8,2.7,3.9,1.2,Iris-versicolor,3.25,2.148148148
83,84,6,2.7,5.1,1.6,Iris-versicolor,3.1875,2.222222222
84,85,5.4,3,4.5,1.5,Iris-versicolor,3,1.8
85,86,6,3.4,4.5,1.6,Iris-versicolor,2.8125,1.764705882
86,87,6.7,3.1,4.7,1.5,Iris-versicolor,3.133333333,2.161290323
87,88,6.3,2.3,4.4,1.3,Iris-versicolor,3.384615385,2.739130435
88,89,5.6,3,4.1,1.3,Iris-versicolor,3.153846154,1.866666667
89,90,5.5,2.5,4,1.3,Iris-versicolor,3.076923077,2.2
90,91,5.5,2.6,4.4,1.2,Iris-versicolor,3.666666667,2.115384615
91,92,6.1,3,4.6,1.4,Iris-versicolor,3.285714286,2.033333333
92,93,5.8,2.6,4,1.2,Iris-versicolor,3.333333333,2.230769231
93,94,5,2.3,3.3,1,Iris-versicolor,3.3,2.173913043
94,95,5.6,2.7,4.2,1.3,Iris-versicolor,3.230769231,2.074074074
95,96,5.7,3,4.2,1.2,Iris-versicolor,3.5,1.9
96,97,5.7,2.9,4.2,1.3,Iris-versicolor,3.230769231,1.965517241
97,98,6.2,2.9,4.3,1.3,Iris-versicolor,3.307692308,2.137931034
98,99,5.1,2.5,3,1.1,Iris-versicolor,2.727272727,2.04
99,100,5.7,2.8,4.1,1.3,Iris-versicolor,3.153846154,2.035714286
100,101,6.3,3.3,6,2.5,Iris-virginica,2.4,1.909090909
101,102,5.8,2.7,5.1,1.9,Iris-virginica,2.684210526,2.148148148
102,103,7.1,3,5.9,2.1,Iris-virginica,2.80952381,2.366666667
103,104,6.3,2.9,5.6,1.8,Iris-virginica,3.111111111,2.172413793
104,105,6.5,3,5.8,2.2,Iris-virginica,2.636363636,2.166666667
105,106,7.6,3,6.6,2.1,Iris-virginica,3.142857143,2.533333333
106,107,4.9,2.5,4.5,1.7,Iris-virginica,2.647058824,1.96
107,108,7.3,2.9,6.3,1.8,Iris-virginica,3.5,2.517241379
108,109,6.7,2.5,5.8,1.8,Iris-virginica,3.222222222,2.68
109,110,7.2,3.6,6.1,2.5,Iris-virginica,2.44,2
110,111,6.5,3.2,5.1,2,Iris-virginica,2.55,2.03125
111,112,6.4,2.7,5.3,1.9,Iris-virginica,2.789473684,2.37037037
112,113,6.8,3,5.5,2.1,Iris-virginica,2.619047619,2.266666667
113,114,5.7,2.5,5,2,Iris-virginica,2.5,2.28
114,115,5.8,2.8,5.1,2.4,Iris-virginica,2.125,2.071428571
115,116,6.4,3.2,5.3,2.3,Iris-virginica,2.304347826,2
116,117,6.5,3,5.5,1.8,Iris-virginica,3.055555556,2.166666667
117,118,7.7,3.8,6.7,2.2,Iris-virginica,3.045454545,2.026315789
118,119,7.7,2.6,6.9,2.3,Iris-virginica,3,2.961538462
119,120,6,2.2,5,1.5,Iris-virginica,3.333333333,2.727272727
120,121,6.9,3.2,5.7,2.3,Iris-virginica,2.47826087,2.15625
121,122,5.6,2.8,4.9,2,Iris-virginica,2.45,2
122,123,7.7,2.8,6.7,2,Iris-virginica,3.35,2.75
123,124,6.3,2.7,4.9,1.8,Iris-virginica,2.722222222,2.333333333
124,125,6.7,3.3,5.7,2.1,Iris-virginica,2.714285714,2.03030303
125,126,7.2,3.2,6,1.8,Iris-virginica,3.333333333,2.25
126,127,6.2,2.8,4.8,1.8,Iris-virginica,2.666666667,2.214285714
127,128,6.1,3,4.9,1.8,Iris-virginica,2.722222222,2.033333333
128,129,6.4,2.8,5.6,2.1,Iris-virginica,2.666666667,2.285714286
129,130,7.2,3,5.8,1.6,Iris-virginica,3.625,2.4
130,131,7.4,2.8,6.1,1.9,Iris-virginica,3.210526316,2.642857143
131,132,7.9,3.8,6.4,2,Iris-virginica,3.2,2.078947368
132,133,6.4,2.8,5.6,2.2,Iris-virginica,2.545454545,2.285714286
133,134,6.3,2.8,5.1,1.5,Iris-virginica,3.4,2.25
134,135,6.1,2.6,5.6,1.4,Iris-virginica,4,2.346153846
135,136,7.7,3,6.1,2.3,Iris-virginica,2.652173913,2.566666667
136,137,6.3,3.4,5.6,2.4,Iris-virginica,2.333333333,1.852941176
137,138,6.4,3.1,5.5,1.8,Iris-virginica,3.055555556,2.064516129
138,139,6,3,4.8,1.8,Iris-virginica,2.666666667,2
139,140,6.9,3.1,5.4,2.1,Iris-virginica,2.571428571,2.225806452
140,141,6.7,3.1,5.6,2.4,Iris-virginica,2.333333333,2.161290323
141,142,6.9,3.1,5.1,2.3,Iris-virginica,2.217391304,2.225806452
142,143,5.8,2.7,5.1,1.9,Iris-virginica,2.684210526,2.148148148
143,144,6.8,3.2,5.9,2.3,Iris-virginica,2.565217391,2.125
144,145,6.7,3.3,5.7,2.5,Iris-virginica,2.28,2.03030303
145,146,6.7,3,5.2,2.3,Iris-virginica,2.260869565,2.233333333
146,147,6.3,2.5,5,1.9,Iris-virginica,2.631578947,2.52
147,148,6.5,3,5.2,2,Iris-virginica,2.6,2.166666667
148,149,6.2,3.4,5.4,2.3,Iris-virginica,2.347826087,1.823529412
149,150,5.9,3,5.1,1.8,Iris-virginica,2.833333333,1.966666667
